title,overview__Firm type,overview__Global HQ,thesis__Funding stages,thesis__Check size,min,max,thesis__Target countries,title_links_website,title_links_linkedin,title_links_twitter,thesis__Funding requirements,overview__Who we are,Contact_email
Konvoy Ventures,VC,"Denver, Colorado, United States","Pre-Seed, Seed, Series A",$500K - $3M,500000,3000000,"Albania, Andorra, Argentina, Armenia, Australia, Austria, Azerbaijan, Bahamas, USA, France, China, Germany, Georgia, Qatar, Kuwait, New Zealand, Norway, Sweden, Switzerland, Taiwan, Ecuador, Egypt, El Salvador, Eritrea, Estonia, Belarus, Belgium, Cabo Verde, Czech Republic, Chile, Denmark, Israel, Finland, Romania, Russia, Brazil, Cyprus, Croatia, Thailand, Turkey, Italy, Hungary, Seychelles, UAE, UK, Ukraine, Uzbekistan, Bulgaria, Iceland, India, Indonesia, Ireland, Peru, Philippines, Poland, Portugal, Saudi Arabia, Singapore, Slovakia, Slovenia, Serbia, South Africa, South Korea, Spain, Greece, Hong Kong, Japan, Jordan, Latvia, Liechtenstein, Luxembourg, Mexico, Cambodia, Colombia, Costa Rica, Venezuela, Vietnam, Maldives, Bahrain, Netherlands, Madagascar, Malaysia, Montenegro",https://www.konvoy.vc/,https://www.linkedin.com/company/konvoy/about/,,"We invest in the infrastructure technology, tools, and platforms of tomorrow’s video gaming industry",Konvoy Ventures is a venture capital fund dedicated to esports & video gaming,
Serena Capital,VC,"Paris, Ile-de-France, France","Seed, Series A, Series B",$100K - $15M,100000,15000000,Europe,https://www.serena.vc/,https://www.linkedin.com/company/serenavc/about/,https://x.com/serenavc,"Serena was founded by entrepreneurs on the belief that your VC should work for you and not the way around. We are not industry-specific as long as your business model is scalable and your product is digital. We have a special affection for DeepTech, enterprise software, marketplaces, and entertainment.","Serena Capital caters to technology companies with seed, early, and later stage venture investments. Investment strategy: We handpick on average four to five teams per year and focus on helping them reach their maximum potential. We are not looking for early exits. We back Europe-based entrepreneurs willing to build continental or worldwide category leaders. We strongly prefer to lead or co-lead rounds.",
BITKRAFT Ventures,VC,"Los Angeles, California, United States","Seed, Series A, Series B",$500K - $10M,500000,10000000,Global,https://bitkraft.vc/,https://www.linkedin.com/company/bitkraftvc/,https://x.com/BitkraftVC/,Vision of Synthetic Reality (https://www.bitkraft.vc/vision/)—the increasing convergence of the physical and digital worlds,"Built by founders for founders, BITKRAFT is a global early- and mid-stage investment platform for gaming, esports, and interactive media. We focus on Seed, Series A, and Series B investments in game studios, interactive platforms, and immersive technology.
",pitch@bitkraft.vc
WndrCo,VC,"Beverly Hills, California, United States","Seed, Series A, Series B, Growth",$50K - $500K,50000,500000,Global,https://www.wndrco.com/,https://www.linkedin.com/company/wndrco/,https://x.com/wndrco,"WndrCo is a holding company that invests in, acquires, develops, and operates consumer technology businesses for the long term.","WndrCo is a holding company that invests in, acquires, develops, and operates consumer technology businesses for the long term.",
Andover Ventures,VC,"United States
","Pre-Seed, Seed, Series A",$50K - $500K,50000,500000,Global,https://www.andovervc.com/,https://www.linkedin.com/company/andover-ventures/,,"Andover is a venture fund investing in early stage software-enabled start-ups ranging from Pre-seed to Series A. We are sector agnostic; however, our team has a background in software development and financial technology. We make co-investments alongside larger funds, angel groups, and other family offices.","Andover is a venture fund investing in early stage software-enabled start-ups ranging from Pre-seed to Series A. We are sector agnostic; however, our team has a background in software development and financial technology. We make co-investments alongside larger funds, angel groups, and other family offices.",user@domain.com
Aura Ventures,VC,"Sydney, New South Wales, Australia","Seed, Series A, Series B",$1M - $10M,1000000,10000000,Global,https://www.aura.vc/,https://www.linkedin.com/company/auraventures/,,We are an early stage venture capital firm dedicated to investing in ambitious entrepreneurs to define and dominate a new generation of commerce.,We are an early stage venture capital firm dedicated to investing in ambitious entrepreneurs to define and dominate a new generation of commerce.,
Behold Ventures,VC,,"Pre-Seed, Seed",,,,,https://behold.vc,https://www.linkedin.com/company/beholdventures/,,,,user@domain.com
Mechanism Capital,VC,,"Pre-seed , Seed , Series A ",,1000000,2000000,Global,https://www.mechanism.capital,https://www.linkedin.com/company/mechanism-capital/,https://twitter.com/MechanismCap,"Focus on blockchain, decentralized finance (DeFi), and crypto-gaming projects. The firm invests in both equity and liquid tokens (SAFTs).",,contact@mechanism.capital
dweb3 capital,VC,"Singapore, Singapore","Pre-seed,Seed,Series A",,,,Global,https://dweb3.io,https://www.linkedin.com/company/dweb3-capital/,https://twitter.com/dWeb3Capital,"Investment focus is on Web3 projects, particularly in decentralized infrastructure, Metaverse, NFTs, and decentralized identity.",,name@example.com
Skyvision capital,VC,"Singapore, Singapore"," Seed , Series A ",,,,Global,https://www.skyvisioncapital.com,https://www.linkedin.com/company/skyvision-capital/,https://twitter.com/skyvisioncap,"Invests in blockchain and distributed ledger technology projects, focusing on those with strong founding teams, innovative technology, and potential for community growth. The firm also provides incubation, acceleration, and marketing support services.",,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com
