Name,Description,List,Labels,Checklist,Due Date
BITKRAFT Ventures - Jens Hilgers,"**Fund:** BITKRAFT Ventures (Berlin/LA) | $800M+ AUM

**Partner:** Jens Hilgers - Founding General Partner

**LinkedIn:** https://www.linkedin.com/in/jenshilgers

**Background:** Serial entrepreneur, founded ESL (acquired), G2 Esports. Pioneer of esports industry. Values game design and player experience.

**Thesis Fit:** Deep gaming operator background. Active in AI + gaming convergence. Global early/mid-stage platform for gaming, esports, interactive media.

**Check Size:** $500K - $10M | Stage: Seed to Series B

**Recent Investments:** Frost Giant Studios, Overload Studios, GOALS

**Outreach Angle:** ESL founder pedigree - focus on AI transforming competitive gaming

**Email Draft:** See emails/bitkraft_jens_hilgers.txt",VC Outreach - Ready for Review,"Type: Outreach,Priority: P0,Status: Ready for Review,Workstream: Investor",Research partner | Draft personalized email | Send outreach | Schedule follow-up,2026-03-06
Griffin Gaming Partners - Phil Sanderson,"**Fund:** Griffin Gaming Partners (Santa Monica) | $750M+ AUM

**Partner:** Phil Sanderson - Managing Director & Co-Founder

**LinkedIn:** https://www.linkedin.com/in/phil-sanderson-32b600231

**Background:** 28 years in VC. Previously at Walden, IDG Ventures/Ridge Ventures. Longest-tenured gaming VC.

**Thesis Fit:** Deep network. Understands game monetization. High-conviction bets.

**Check Size:** $1M - $50M | Stage: Early to Late

**Recent Investments:** Discord, Scopely, Frost Giant Studios

**Outreach Angle:** Industry veteran - focus on AI transforming game development economics

**Email Draft:** See emails/griffin_phil_sanderson.txt",VC Outreach - Ready for Review,"Type: Outreach,Priority: P0,Status: Ready for Review,Workstream: Investor",Research partner | Draft personalized email | Send outreach | Schedule follow-up,2026-03-06
Konvoy Ventures - Jason Chapman,"**Fund:** Konvoy Ventures (Denver) | $150M+ AUM

**Partner:** Jason Chapman - Managing Partner & Co-Founder

**LinkedIn:** https://www.linkedin.com/in/jasondchapman

**Background:** Former BlackRock product analyst. True gamer: CSGO, Halo, AoE player. Data-driven approach.

**Thesis Fit:** Thesis-driven gaming fund. Web3 + AI gaming focus. Portfolio includes Solsten (AI player analytics).

**Check Size:** $500K - $3M | Stage: Seed to Series A

**Recent Investments:** Solsten, Bramble, eFuse, GameSquare

**Outreach Angle:** Gamer-first fund - emphasize player experience transformation via AI

**Email Draft:** See emails/konvoy_jason_chapman.txt",VC Outreach - Ready for Review,"Type: Outreach,Priority: P0,Status: Ready for Review,Workstream: Investor",Research partner | Draft personalized email | Send outreach | Schedule follow-up,2026-03-07
