timestamp,fund_name,packet_id,channel,sender,contact,target_send_at_utc,sent_at_utc,follow_up_due_utc,assets_link,notes
2026-02-27T01:45:00Z,BITKRAFT Ventures,P1,email,lucas@example.com,Martin Garcia,2026-02-25T16:00:00Z,2026-02-27T01:45:00Z,2026-03-02T01:45:00Z,deliverables/outreach_assets/pitch_deck/latest.pdf,First touch - Gaming/AI focus - SENT (Cycle: Feb 27 01:35)
2026-02-27T01:45:00Z,Konvoy Ventures,P2,email,lucas@example.com,Taylor Hurst,2026-02-25T16:00:00Z,2026-02-27T01:45:00Z,2026-03-02T01:45:00Z,deliverables/outreach_assets/pitch_deck/latest.pdf,First touch - Infrastructure play - SENT (Cycle: Feb 27 01:35)
2026-02-27T01:45:00Z,Mechanism Capital,P3,email,lucas@example.com,Steve Cho,2026-02-25T16:00:00Z,2026-02-27T01:45:00Z,2026-03-02T01:45:00Z,deliverables/outreach_assets/pitch_deck/latest.pdf,First touch - Crypto-gaming + AI - SENT (Cycle: Feb 27 01:35)
2026-02-27T01:45:00Z,Collab+Currency,P4,email,lucas@example.com,Derek Edwards,2026-02-25T16:00:00Z,2026-02-27T01:45:00Z,2026-03-02T01:45:00Z,deliverables/outreach_assets/pitch_deck/latest.pdf,First touch - Crypto x culture - SENT (Cycle: Feb 27 01:35)
2026-02-27T01:45:00Z,Variant,P5,email,lucas@example.com,Spencer Noon,2026-02-25T16:00:00Z,2026-02-27T01:45:00Z,2026-03-02T01:45:00Z,deliverables/outreach_assets/pitch_deck/latest.pdf,First touch - User ownership - SENT (Cycle: Feb 27 01:35)
2026-02-27T01:50:00Z,a16z GAMES,P6,email,lucas@example.com,Jonathan Lai,2026-02-26T16:00:00Z,2026-02-27T01:50:00Z,2026-03-02T01:50:00Z,deliverables/outreach_assets/pitch_deck/latest.pdf,First touch - Gaming/AI focus - SENT (Cycle: Feb 27 01:35)
2026-02-27T01:50:00Z,Griffin Gaming Partners,P7,email,lucas@example.com,Peter Levin,2026-02-26T16:00:00Z,2026-02-27T01:50:00Z,2026-03-02T01:50:00Z,deliverables/outreach_assets/pitch_deck/latest.pdf,First touch - Infrastructure play - SENT (Cycle: Feb 27 01:35)
2026-02-27T01:50:00Z,Makers Fund,P8,email,lucas@example.com,Michael Cheung,2026-02-26T16:00:00Z,2026-02-27T01:50:00Z,2026-03-02T01:50:00Z,deliverables/outreach_assets/pitch_deck/latest.pdf,First touch - Creator economy - SENT (Cycle: Feb 27 01:35)
2026-02-27T01:50:00Z,Transcend Fund,P9,email,lucas@example.com,Shanti Bergel,2026-02-26T16:00:00Z,2026-02-27T01:50:00Z,2026-03-02T01:50:00Z,deliverables/outreach_assets/pitch_deck/latest.pdf,First touch - Gaming/AI focus - SENT (Cycle: Feb 27 01:35)
2026-02-27T01:50:00Z,Galaxy Interactive,P10,email,lucas@example.com,Sam Englebardt,2026-02-26T16:00:00Z,2026-02-27T01:50:00Z,2026-03-02T01:50:00Z,deliverables/outreach_assets/pitch_deck/latest.pdf,First touch - Crypto x culture - SENT (Cycle: Feb 27 01:35)
