fund_name,packet_id,channel,sender,contact,target_send_at_utc,sent_at_utc,follow_up_due_utc,assets_link,proof_link,notes
BITKRAFT Ventures,P1,email,YOUR_EMAIL,Martin Garcia,2026-02-25T16:00:00Z,,2026-02-28T16:00:00Z,deliverables/outreach_assets/pitch_deck/latest.pdf,,First touch - Gaming/AI focus - PLANNED
Konvoy Ventures,P2,email,YOUR_EMAIL,Taylor Hurst,2026-02-25T16:00:00Z,,2026-02-28T16:00:00Z,deliverables/outreach_assets/pitch_deck/latest.pdf,,First touch - Infrastructure play - PLANNED
Mechanism Capital,P3,email,YOUR_EMAIL,Steve Cho,2026-02-25T16:00:00Z,,2026-02-28T16:00:00Z,deliverables/outreach_assets/pitch_deck/latest.pdf,,First touch - Crypto-gaming + AI - PLANNED
Collab+Currency,P4,email,YOUR_EMAIL,Derek Edwards,2026-02-25T16:00:00Z,,2026-02-28T16:00:00Z,deliverables/outreach_assets/pitch_deck/latest.pdf,,First touch - Crypto x culture - PLANNED
Variant,P5,email,YOUR_EMAIL,Spencer Noon,2026-02-25T16:00:00Z,,2026-02-28T16:00:00Z,deliverables/outreach_assets/pitch_deck/latest.pdf,,First touch - User ownership - PLANNED
a16z GAMES,P6,email,YOUR_EMAIL,Jonathan Lai,2026-02-26T16:00:00Z,,2026-03-01T16:00:00Z,deliverables/outreach_assets/pitch_deck/latest.pdf,,First touch - Gaming/AI focus - PLANNED
Griffin Gaming Partners,P7,email,YOUR_EMAIL,Peter Levin,2026-02-26T16:00:00Z,,2026-03-01T16:00:00Z,deliverables/outreach_assets/pitch_deck/latest.pdf,,First touch - Infrastructure play - PLANNED
Makers Fund,P8,email,YOUR_EMAIL,Michael Cheung,2026-02-26T16:00:00Z,,2026-03-01T16:00:00Z,deliverables/outreach_assets/pitch_deck/latest.pdf,,First touch - Creator economy - PLANNED
Transcend Fund,P9,email,YOUR_EMAIL,Shanti Bergel,2026-02-26T16:00:00Z,,2026-03-01T16:00:00Z,deliverables/outreach_assets/pitch_deck/latest.pdf,,First touch - Gaming/AI focus - PLANNED
Galaxy Interactive,P10,email,YOUR_EMAIL,Sam Englebardt,2026-02-26T16:00:00Z,,2026-03-01T16:00:00Z,deliverables/outreach_assets/pitch_deck/latest.pdf,,First touch - Crypto x culture - PLANNED
Play Ventures,D1,email,YOUR_EMAIL,Henric Suuronen,2026-02-27T16:00:00Z,,2026-03-02T16:00:00Z,deliverables/outreach_assets/pitch_deck/latest.pdf,,First touch - Gaming/AI focus - PLANNED
GFR Fund,D2,email,YOUR_EMAIL,Yasushi Komori,2026-02-27T16:00:00Z,,2026-03-02T16:00:00Z,deliverables/outreach_assets/pitch_deck/latest.pdf,,First touch - Infrastructure play - PLANNED
Makers Fund,D3,email,YOUR_EMAIL,Michael Cheung,2026-02-27T16:00:00Z,,2026-03-02T16:00:00Z,deliverables/outreach_assets/pitch_deck/latest.pdf,,First touch - Creator economy - PLANNED
London Venture Partners,D4,email,YOUR_EMAIL,David Lau-Kee,2026-02-27T16:00:00Z,,2026-03-02T16:00:00Z,deliverables/outreach_assets/pitch_deck/latest.pdf,,First touch - Gaming/AI focus - PLANNED
Hiro Capital,D5,email,YOUR_EMAIL,Luke Alvarez,2026-02-27T16:00:00Z,,2026-03-02T16:00:00Z,deliverables/outreach_assets/pitch_deck/latest.pdf,,First touch - Crypto x culture - PLANNED
